"","parent","index","text"
"14","1",14,"Now, where was Matthew Cuthbert going and why was he going there?  "
"45","1",45,"Yet what of Matthew’s white collar and the sorrel mare? "
"48","1",48,"“This is a real fine evening, isn’t it? "
"49","1",49,"Won’t you sit down? "
"50","1",50,"How are all your folks?”  "
"65","1",65,"“Are you in earnest, Marilla?” "
"76","1",76,"“What on earth put such a notion into your head?” "
"182","1",182,"“I suppose you are Mr. Matthew Cuthbert of Green Gables?” "
"187","1",187,"I wouldn’t be a bit afraid, and it would be lovely to sleep in a wild cherry-tree all white with bloom in the moonshine, don’t you think? "
"188","1",188,"You could imagine you were dwelling in marble halls, couldn’t you? "
"203","1",203,"We’ve got to drive a long piece, haven’t we? "
"213","1",213,"It’s so easy to be wicked without knowing it, isn’t it? "
"218","1",218,"I guess that’s why I’m so thin--I _am_ dreadful thin, ain’t I? "
"224","1",224,"“Isn’t that beautiful? "
"225","1",225,"What did that tree, leaning out from the bank, all white and lacy, make you think of?” "
"236","1",236,"And I’ve never had a pretty dress in my life that I can remember--but of course it’s all the more to look forward to, isn’t it? "
"241","1",241,"Some people said it was because he couldn’t sell it, but I’d rather believe that it was out of the kindness of his heart, wouldn’t you? "
"249","1",249,"But if it kept her from being seasick it’s a mercy I did prowl, isn’t it? "
"255","1",255,"It’s delightful when your imaginations come true, isn’t it? "
"259","1",259,"I suppose I had, too, but how you going to find out about things if you don’t ask questions? "
"260","1",260,"And what _does_ make the roads red?”  "
"263","1",263,"Isn’t it splendid to think of all the things there are to find out about? "
"265","1",265,"It wouldn’t be half so interesting if we know all about everything, would it? "
"266","1",266,"There’d be no scope for imagination then, would there? "
"267","1",267,"But am I talking too much? "
"269","1",269,"Would you rather I didn’t talk? "
"286","1",286,"But if you have big ideas you have to use big words to express them, haven’t you?”  "
"299","1",299,"If you were out in a great big woods with other trees all around you and little mosses and June bells growing over your roots and a brook not far away and birds singing in you branches, you could grow, couldn’t you? "
"303","1",303,"You do get so attached to things like that, don’t you? "
"304","1",304,"Is there a brook anywhere near Green Gables? "
"310","1",310,"Dreams don’t often come true, do they? "
"311","1",311,"Wouldn’t it be nice if they did? "
"313","1",313,"I can’t feel exactly perfectly happy because--well, what color would you call this?”  "
"316","1",316,"“It’s red, ain’t it?” "
"332","1",332,"What is an alabaster brow? "
"334","1",334,"Can you tell me?”  "
"338","1",338,"Have you ever imagined what it must feel like to be divinely beautiful?”  "
"341","1",341,"Which would you rather be if you had the choice--divinely beautiful or dazzlingly clever or angelically good?”  "
"364","1",364,"“Oh, Mr. Cuthbert,” she whispered, “that place we came through--that white place--what was it?”  "
"367","1",367,"“Pretty? "
"374","1",374,"Did you ever have an ache like that, Mr. Cuthbert?”  "
"380","1",380,"Isn’t that a nice imaginative name? "
"384","1",384,"Have we really only another mile to go before we get home? "
"407","1",407,"Do things ever give you a thrill?”  "
"413","1",413,"Do you think it can? "
"414","1",414,"There doesn’t seem to be much connection between grubs and lakes of shining waters, does there? "
"415","1",415,"But why do other people call it Barry’s pond?”  "
